epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1189.11,0.68037,0.56598,0.95061,0.86967,0.85341,0.92254,0.7742,0.67938,0.593,0.96191,0.00134332,0.00134332,0.00134332
68,1206.27,0.6693,0.56607,0.94462,0.85546,0.84739,0.91965,0.7722,0.69706,0.59842,0.96215,0.00133337,0.00133337,0.00133337
69,1223,0.67922,0.56899,0.95769,0.86081,0.83835,0.91823,0.76578,0.70402,0.59216,0.96342,0.00132342,0.00132342,0.00132342
70,1240.47,0.66062,0.55919,0.94742,0.85003,0.85843,0.92207,0.76891,0.68633,0.60104,0.96816,0.00131347,0.00131347,0.00131347
71,1258.53,0.66218,0.56091,0.93929,0.85439,0.85241,0.92174,0.77721,0.66895,0.5784,0.9665,0.00130352,0.00130352,0.00130352
72,1276.21,0.66013,0.55123,0.94607,0.86736,0.85353,0.92301,0.77656,0.674,0.59144,0.96413,0.00129357,0.00129357,0.00129357
73,1293.87,0.64911,0.54797,0.9418,0.86724,0.84337,0.91326,0.76595,0.67914,0.60702,0.97499,0.00128362,0.00128362,0.00128362
74,1311.34,0.6474,0.54253,0.93718,0.86716,0.82579,0.91256,0.76399,0.69002,0.61116,0.97283,0.00127367,0.00127367,0.00127367
75,1328.76,0.66382,0.56023,0.94979,0.88364,0.81928,0.91267,0.76117,0.68708,0.62423,0.96784,0.00126372,0.00126372,0.00126372
76,1346.2,0.66095,0.55315,0.95174,0.87542,0.85371,0.91812,0.76381,0.69651,0.60456,0.97987,0.00125377,0.00125377,0.00125377
77,1362.92,0.66046,0.56002,0.94159,0.88087,0.83887,0.92784,0.78116,0.67742,0.58585,0.96839,0.00124382,0.00124382,0.00124382
78,1379.31,0.64745,0.54818,0.93718,0.86266,0.83873,0.92215,0.77133,0.67662,0.58555,0.95833,0.00123387,0.00123387,0.00123387
79,1396.68,0.64709,0.53456,0.94312,0.87698,0.83741,0.93067,0.77844,0.67636,0.57592,0.96247,0.00122392,0.00122392,0.00122392
80,1414.75,0.63723,0.5486,0.93722,0.88806,0.83635,0.92824,0.77567,0.69584,0.57444,0.96824,0.00121397,0.00121397,0.00121397
81,1432.49,0.64427,0.53948,0.93879,0.87186,0.83345,0.92255,0.78102,0.67475,0.60707,0.96194,0.00120402,0.00120402,0.00120402
82,1449.93,0.6399,0.53191,0.9366,0.87989,0.83113,0.92324,0.77057,0.6782,0.59019,0.96321,0.00119407,0.00119407,0.00119407
83,1467.71,0.64264,0.54444,0.93264,0.85876,0.85843,0.92476,0.77495,0.67016,0.58917,0.96504,0.00118412,0.00118412,0.00118412
84,1485.25,0.63874,0.53093,0.93925,0.88474,0.82631,0.92397,0.7821,0.67229,0.57377,0.9664,0.00117417,0.00117417,0.00117417
85,1502.6,0.64423,0.5382,0.93533,0.90087,0.83942,0.92776,0.78521,0.67396,0.56051,0.96455,0.00116422,0.00116422,0.00116422
86,1520.04,0.63411,0.53234,0.93352,0.89864,0.83133,0.92731,0.78806,0.64777,0.5561,0.95524,0.00115427,0.00115427,0.00115427
87,1536.87,0.62414,0.52654,0.92511,0.83797,0.8879,0.92993,0.78968,0.6713,0.55761,0.95795,0.00114432,0.00114432,0.00114432
88,1553.75,0.61753,0.51766,0.92142,0.88792,0.83513,0.92798,0.78492,0.6664,0.56945,0.95264,0.00113437,0.00113437,0.00113437
89,1570.29,0.61972,0.53232,0.92543,0.86487,0.8611,0.92702,0.78311,0.6565,0.57133,0.95556,0.00112442,0.00112442,0.00112442
90,1586.35,0.61927,0.52761,0.92693,0.85909,0.84036,0.92042,0.78294,0.65894,0.59276,0.94848,0.00111447,0.00111447,0.00111447
91,1603.34,0.62362,0.51958,0.92498,0.85136,0.86832,0.92467,0.78365,0.67047,0.57152,0.95929,0.00110452,0.00110452,0.00110452
92,1620.83,0.62014,0.51412,0.92924,0.88881,0.84271,0.92746,0.79046,0.6513,0.56712,0.9586,0.00109457,0.00109457,0.00109457
93,1638.2,0.61946,0.51885,0.93134,0.87678,0.85141,0.92815,0.79203,0.66234,0.58329,0.96598,0.00108462,0.00108462,0.00108462
94,1658.83,0.62083,0.52099,0.93169,0.88002,0.83936,0.91683,0.77293,0.6725,0.59456,0.96544,0.00107467,0.00107467,0.00107467
95,1676.82,0.61608,0.51356,0.92994,0.88187,0.84137,0.91915,0.78122,0.6543,0.5954,0.95568,0.00106472,0.00106472,0.00106472
96,1694.44,0.6136,0.51839,0.92977,0.88154,0.84237,0.92037,0.78785,0.65423,0.564,0.95211,0.00105477,0.00105477,0.00105477
97,1712.34,0.61766,0.51632,0.92778,0.88409,0.85002,0.92491,0.79546,0.66164,0.56688,0.96018,0.00104482,0.00104482,0.00104482
98,1730.32,0.61254,0.51169,0.92464,0.9002,0.83835,0.91919,0.78062,0.67028,0.57361,0.9651,0.00103487,0.00103487,0.00103487
99,1747.97,0.59817,0.49575,0.9189,0.88545,0.83044,0.92583,0.78566,0.64499,0.55733,0.95455,0.00102492,0.00102492,0.00102492
100,1765.05,0.59109,0.48901,0.91597,0.84198,0.88956,0.92761,0.78979,0.6612,0.57427,0.9563,0.00101497,0.00101497,0.00101497
101,1781.98,0.60344,0.50506,0.92203,0.89908,0.83635,0.93063,0.79853,0.64423,0.54972,0.95272,0.00100503,0.00100503,0.00100503
102,1798.54,0.60563,0.50576,0.91999,0.87021,0.86166,0.92574,0.79219,0.64866,0.57477,0.9578,0.000995075,0.000995075,0.000995075
103,1814.95,0.59281,0.49718,0.91778,0.86108,0.85879,0.91557,0.78468,0.65193,0.5799,0.964,0.000985126,0.000985126,0.000985126
104,1831.38,0.6028,0.49869,0.9297,0.89247,0.84639,0.92911,0.79674,0.6289,0.55207,0.94467,0.000975176,0.000975176,0.000975176
105,1848.79,0.58963,0.50089,0.91103,0.86026,0.86345,0.92642,0.78949,0.63918,0.55321,0.9548,0.000965226,0.000965226,0.000965226
106,1866.3,0.60158,0.50689,0.91891,0.90811,0.82357,0.9198,0.78653,0.64653,0.57576,0.9549,0.000955276,0.000955276,0.000955276
107,1884.01,0.5879,0.48992,0.91584,0.87568,0.85574,0.92865,0.79447,0.63889,0.55657,0.95323,0.000945327,0.000945327,0.000945327
